date,side,price,bull_score,entry_price,entry_date,trade_return
2014-11-23,BUY,367.572998046875,71.12272752361407,,,
2014-12-17,SELL,319.7760009765625,5.0,367.572998046875,2014-11-23,-0.1300340267764096
2015-02-27,BUY,253.8280029296875,95.0,,,
2015-04-03,SELL,254.32200622558597,5.0,253.8280029296875,2015-02-27,0.0019462127511412088
2015-05-22,BUY,240.34800720214844,86.37822433688434,,,
2015-06-05,SELL,224.95199584960935,5.0,240.34800720214844,2015-05-22,-0.06405716249434111
2015-06-23,BUY,244.29600524902344,77.25303120133559,,,
2015-08-16,SELL,258.5069885253906,5.0,244.29600524902344,2015-06-23,0.05817116518905499
2015-10-04,BUY,238.25900268554688,95.0,,,
2016-01-19,SELL,380.1489868164063,5.0,238.25900268554688,2015-10-04,0.5955283222524237
2016-02-24,BUY,424.9549865722656,80.25255551548426,,,
2016-07-25,SELL,654.0969848632812,6.9791563713698075,424.9549865722656,2016-02-24,0.5392147534008263
2016-09-13,BUY,609.2410278320312,95.0,,,
2017-01-26,SELL,917.5859985351562,5.0,609.2410278320312,2016-09-13,0.5061132731004062
2017-02-01,BUY,989.0230102539062,70.09915190813128,,,
2017-03-27,SELL,1045.77001953125,5.0,989.0230102539062,2017-02-01,0.0573768341979985
2017-04-17,BUY,1193.9100341796875,95.0,,,
2017-07-12,SELL,2398.840087890625,5.0,1193.9100341796875,2017-04-17,1.0092301925737828
2017-08-02,BUY,2710.669921875,95.0,,,
2017-09-22,SELL,3630.699951171875,5.0,2710.669921875,2017-08-02,0.3394105722250683
2017-10-11,BUY,4826.47998046875,94.61733020295073,,,
2018-01-16,SELL,11490.5,5.0,4826.47998046875,2017-10-11,1.3807205347372098
2018-03-04,BUY,11512.599609375,95.0,,,
2018-03-21,SELL,8929.2802734375,5.0,11512.599609375,2018-03-04,-0.2243906175486063
2018-04-27,BUY,8987.0498046875,95.0,,,
2018-05-26,SELL,7355.8798828125,5.0,8987.0498046875,2018-04-27,-0.1815022679660914
2018-07-22,BUY,7418.490234375,95.0,,,
2018-08-17,SELL,6580.6298828125,5.0,7418.490234375,2018-07-22,-0.11294216546651407
2019-01-07,BUY,4025.248291015625,95.0,,,
2019-01-26,SELL,3602.46044921875,5.0,4025.248291015625,2019-01-07,-0.10503397833632763
2019-02-22,BUY,4005.526611328125,80.43366203428565,,,
2019-07-29,SELL,9519.1455078125,5.0,4005.526611328125,2019-02-22,1.3765028750255155
2019-11-05,BUY,9342.52734375,95.0,,,
2019-11-24,SELL,7047.9169921875,5.0,9342.52734375,2019-11-05,-0.24560916624959706
2020-01-08,BUY,8079.86279296875,72.33385334557909,,,
2020-03-06,SELL,9122.5458984375,5.0,8079.86279296875,2020-01-08,0.12904713015375863
2020-04-19,BUY,7189.4248046875,95.0,,,
2020-06-29,SELL,9190.8544921875,9.473742651281654,7189.4248046875,2020-04-19,0.27838523134633375
