date,side,price,bull_score,entry_price,entry_date,trade_return
2014-11-20,BUY,357.8399963378906,67.18971856036515,,,
2014-12-15,SELL,345.3450012207031,38.22122907156913,357.8399963378906,2014-11-20,-0.03491782708769395
2015-02-27,BUY,253.8280029296875,95.0,,,
2015-04-03,SELL,254.32200622558597,5.0,253.8280029296875,2015-02-27,0.0019462127511412088
2015-05-22,BUY,240.34800720214844,86.37822433688434,,,
2015-06-05,SELL,224.95199584960935,5.0,240.34800720214844,2015-05-22,-0.06405716249434111
2015-06-23,BUY,244.29600524902344,77.25303120133559,,,
2015-08-16,SELL,258.5069885253906,5.0,244.29600524902344,2015-06-23,0.05817116518905499
2015-10-04,BUY,238.25900268554688,95.0,,,
2016-01-19,SELL,380.1489868164063,5.0,238.25900268554688,2015-10-04,0.5955283222524237
2016-02-24,BUY,424.9549865722656,80.25255551548426,,,
2016-03-31,SELL,416.72900390625,34.22900328502831,424.9549865722656,2016-02-24,-0.01935730354023451
2016-04-11,BUY,422.4830017089844,95.0,,,
2016-07-25,SELL,654.0969848632812,6.9791563713698075,422.4830017089844,2016-04-11,0.5482208330687768
2016-09-13,BUY,609.2410278320312,95.0,,,
2017-01-26,SELL,917.5859985351562,5.0,609.2410278320312,2016-09-13,0.5061132731004062
2017-02-01,BUY,989.0230102539062,70.09915190813128,,,
2017-03-27,SELL,1045.77001953125,5.0,989.0230102539062,2017-02-01,0.0573768341979985
2017-04-17,BUY,1193.9100341796875,95.0,,,
2017-07-12,SELL,2398.840087890625,5.0,1193.9100341796875,2017-04-17,1.0092301925737828
2017-07-31,BUY,2875.340087890625,69.96922484957143,,,
2017-09-22,SELL,3630.699951171875,5.0,2875.340087890625,2017-07-31,0.2627027899977525
2017-10-11,BUY,4826.47998046875,94.61733020295073,,,
2018-01-16,SELL,11490.5,5.0,4826.47998046875,2017-10-11,1.3807205347372098
2018-03-04,BUY,11512.599609375,95.0,,,
2018-03-19,SELL,8630.650390625,38.210628284318176,11512.599609375,2018-03-04,-0.25033001377057845
2018-04-27,BUY,8987.0498046875,95.0,,,
2018-05-26,SELL,7355.8798828125,5.0,8987.0498046875,2018-04-27,-0.1815022679660914
2018-07-22,BUY,7418.490234375,95.0,,,
2018-08-16,SELL,6334.72998046875,37.50756652656173,7418.490234375,2018-07-22,-0.14608905851010473
2019-01-07,BUY,4025.248291015625,95.0,,,
2019-01-26,SELL,3602.46044921875,5.0,4025.248291015625,2019-01-07,-0.10503397833632763
2019-02-22,BUY,4005.526611328125,80.43366203428565,,,
2019-07-29,SELL,9519.1455078125,5.0,4005.526611328125,2019-02-22,1.3765028750255155
2019-08-19,BUY,10916.0537109375,66.75110680591074,,,
2019-08-28,SELL,9754.4228515625,5.0,10916.0537109375,2019-08-19,-0.1064149087330971
2019-11-05,BUY,9342.52734375,95.0,,,
2019-11-23,SELL,7397.796875,37.43909390724737,9342.52734375,2019-11-05,-0.2081589271505845
2020-01-08,BUY,8079.86279296875,72.33385334557909,,,
2020-03-06,SELL,9122.5458984375,5.0,8079.86279296875,2020-01-08,0.12904713015375863
2020-04-19,BUY,7189.4248046875,95.0,,,
2020-06-29,SELL,9190.8544921875,9.473742651281654,7189.4248046875,2020-04-19,0.27838523134633375
2020-07-27,BUY,10990.873046875,67.2704853534097,,,
2020-09-09,SELL,10242.34765625,5.0,10990.873046875,2020-07-27,-0.06810427046446742
2020-10-13,BUY,11425.8994140625,95.0,,,
2021-04-25,SELL,49004.25390625,37.94370837110927,11425.8994140625,2020-10-13,3.288874961207666
2021-08-02,BUY,39201.9453125,66.02449323244964,,,
2021-09-23,SELL,44895.09765625,5.0,39201.9453125,2021-08-02,0.14522627125686724
2021-10-11,BUY,57484.7890625,68.10236087722994,,,
2021-11-26,SELL,53569.765625,37.95734639940238,57484.7890625,2021-10-11,-0.06810538059456761
2022-02-28,BUY,43193.234375,90.31333110583557,,,
2022-03-07,SELL,38062.0390625,5.0,43193.234375,2022-02-28,-0.11879627415607262
2022-03-19,BUY,42190.65234375,95.0,,,
2022-03-20,SELL,41247.82421875,32.74710313283019,42190.65234375,2022-03-19,-0.02234684871232307
2022-03-27,BUY,46820.4921875,67.59212909264919,,,
2022-04-22,SELL,39740.3203125,5.0,46820.4921875,2022-03-27,-0.15121950975325807
2022-07-28,BUY,23843.88671875,95.0,,,
2022-08-28,SELL,19616.814453125,36.48700198222066,23843.88671875,2022-07-28,-0.17728117548474084
2022-10-31,BUY,20495.7734375,95.0,,,
2022-11-13,SELL,16353.365234375,37.585387524219925,20495.7734375,2022-10-31,-0.20211036269291802
2023-01-14,BUY,20976.298828125,72.19972995246043,,,
2023-03-10,SELL,20187.244140625,5.0,20976.298828125,2023-01-14,-0.03761648773052548
2023-03-13,BUY,24197.533203125,68.04132424398023,,,
2023-05-08,SELL,27694.2734375,13.321000261911813,24197.533203125,2023-03-13,0.14450812837084617
2023-06-25,BUY,30480.26171875,67.54299640442485,,,
2023-08-03,SELL,29178.6796875,11.11414898600928,30480.26171875,2023-06-25,-0.04270245587981054
2023-10-01,BUY,27983.75,95.0,,,
2024-01-24,SELL,40077.07421875,5.0,27983.75,2023-10-01,0.43215524076472955
